title,rating,qtd_votes,movie_url
Um Sonho de Liberdade,9.3,2.9M,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
O Poderoso Chefão,9.2,2M,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
Batman: O Cavaleiro das Trevas,9.0,2.9M,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
O Poderoso Chefão II,9.0,1.4M,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
12 Homens e uma Sentença,9.0,863K,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
A Lista de Schindler,9.0,1.4M,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6
O Senhor dos Anéis: O Retorno do Rei,9.0,2M,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7
Pulp Fiction: Tempo de Violência,8.9,2.2M,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8
O Senhor dos Anéis: A Sociedade do Anel,8.9,2M,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9
Três Homens em Conflito,8.8,810K,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
Forrest Gump: O Contador de Histórias,8.8,2.3M,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11
O Senhor dos Anéis: As Duas Torres,8.8,1.8M,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12
Clube da Luta,8.8,2.3M,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
A Origem,8.8,2.5M,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
Star Wars: Episódio V - O Império Contra-Ataca,8.7,1.4M,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
Matrix,8.7,2M,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
Duna: Parte 2,8.7,339K,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_17
Os Bons Companheiros,8.7,1.3M,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_18
Um Estranho no Ninho,8.7,1.1M,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19
Seven: Os Sete Crimes Capitais,8.6,1.8M,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20
Interestelar,8.7,2.1M,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_21
A Felicidade Não se Compra,8.6,499K,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_22
Os Sete Samurais,8.6,366K,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23
O Silêncio dos Inocentes,8.6,1.5M,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_24
O Resgate do Soldado Ryan,8.6,1.5M,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_25
Cidade de Deus,8.6,800K,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_26
A Vida é Bela,8.6,742K,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27
À Espera de um Milagre,8.6,1.4M,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_28
O Exterminador do Futuro 2: O Julgamento Final,8.6,1.2M,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_29
Star Wars: Episódio IV - Uma Nova Esperança,8.6,1.4M,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_30
De Volta para o Futuro,8.5,1.3M,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_31
A Viagem de Chihiro,8.6,847K,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32
O Pianista,8.5,910K,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33
Parasita,8.5,956K,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34
Psicose,8.5,717K,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35
